日期,收盘,开盘,高,低,交易量,涨跌幅
2005年11月6日,123.76,122.4,123.86,121.75,260.62M,1.35%
2005年11月13日,125.13,123.76,125.76,122.86,293.98M,1.11%
2005年11月20日,127.13,125.15,127.41,124.98,182.59M,1.60%
2005年11月27日,126.85,127.25,127.27,125.29,274.66M,-0.22%
2005年12月4日,126.33,126.64,127.74,125.48,297.50M,-0.41%
2005年12月11日,126.36,126.71,128.57,125.96,303.58M,0.02%
2005年12月18日,126.76,126.73,126.87,125.48,207.46M,0.32%
2005年12月25日,124.51,126.92,127.05,124.36,152.95M,-1.78%
2006年1月1日,128.44,125.1,128.58,124.39,235.85M,3.16%
2006年1月8日,128.68,128.42,129.44,128.2,223.50M,0.19%
2006年1月15日,125.97,128.2,128.9,125.97,321.08M,-2.11%
2006年1月22日,128.54,126.21,128.66,125.84,345.08M,2.04%
2006年1月29日,126.27,128.44,128.81,126.14,340.10M,-1.77%
2006年2月5日,126.64,126.44,128.1,125.4,302.71M,0.29%
2006年2月12日,128.81,126.57,129.21,125.95,330.17M,1.71%
2006年2月19日,129.41,129.12,129.65,128.28,169.04M,0.47%
2006年2月26日,128.76,129.4,130.07,128.13,293.08M,-0.50%
2006年3月5日,128.59,129.14,129.18,127.18,303.07M,-0.13%
2006年3月12日,130.62,128.84,131.47,128.53,283.41M,1.58%
2006年3月19日,130.21,130.64,130.99,129.45,274.65M,-0.31%
2006年3月26日,129.83,130.03,130.98,129.05,309.66M,-0.29%
2006年4月2日,129.54,130.07,131.4,129.35,305.16M,-0.22%
2006年4月9日,128.71,129.71,130.08,128.25,208.48M,-0.64%
2006年4月16日,131.15,128.79,131.86,128.02,402.52M,1.90%
2006年4月23日,131.47,130.93,131.75,129.59,384.64M,0.24%
2006年4月30日,132.52,131.47,132.8,130.32,280.47M,0.80%
2006年5月7日,129.24,132.51,132.77,129.19,296.69M,-2.48%
2006年5月14日,127.1,128.79,130,125.8,503.26M,-1.66%
2006年5月21日,128.38,126.28,128.38,124.76,513.28M,1.01%
2006年5月28日,129,127.97,129.43,126.05,324.82M,0.48%
2006年6月4日,125.35,128.79,128.86,123.87,625.69M,-2.83%
2006年6月11日,124.65,125.88,126.36,122.34,673.99M,-0.56%
2006年6月18日,124.44,125.4,125.7,123.55,365.50M,-0.17%
2006年6月25日,127.23,124.54,127.66,123.65,335.04M,2.24%
2006年7月2日,126.61,127.43,128.01,126.29,226.49M,-0.49%
2006年7月9日,123.52,126.94,127.43,122.83,423.03M,-2.44%
2006年7月16日,123.95,123.5,126.3,122.39,553.47M,0.35%
2006年7月23日,127.98,124.44,128.14,124.44,442.35M,3.25%
2006年7月30日,128.2,127.66,129.43,126.6,339.65M,0.17%
2006年8月6日,127.01,127.9,128.6,126.28,332.07M,-0.93%
2006年8月13日,130.69,127.63,130.69,126.92,327.33M,2.90%
2006年8月20日,129.81,130.18,130.52,129.19,269.35M,-0.67%
2006年8月27日,131.42,129.65,131.58,129.64,251.94M,1.24%
2006年9月3日,130.28,131.51,131.85,129.35,237.56M,-0.87%
2006年9月10日,131.96,129.86,132.45,129.48,335.87M,1.29%
2006年9月17日,131.47,131.79,132.77,131,386.42M,-0.37%
2006年9月24日,133.58,131.73,133.99,131.05,355.35M,1.60%
2006年10月1日,135.01,133.54,135.41,132.34,332.10M,1.07%
2006年10月8日,136.63,134.85,136.71,134.3,314.83M,1.20%
2006年10月15日,136.84,136.52,137.37,135.67,332.68M,0.15%
2006年10月22日,137.91,136.56,139,136.39,345.10M,0.78%
2006年10月29日,136.54,137.66,138.31,135.62,336.07M,-0.99%
2006年11月5日,138.24,136.96,139.14,136.86,359.14M,1.25%
2006年11月12日,140.42,138.18,140.68,138.07,365.77M,1.58%
2006年11月19日,140.35,140.3,141.16,139.94,197.07M,-0.05%
2006年11月26日,140.22,140.28,141.05,138.11,492.92M,-0.09%
2006年12月3日,141.42,140.25,142.3,140.23,357.01M,0.86%
2006年12月10日,142.34,141.42,143.24,140.89,308.46M,0.65%
2006年12月17日,140.75,142.54,142.88,140.67,266.28M,-1.12%
2006年12月24日,141.62,140.81,142.7,140.78,155.19M,0.62%
2006年12月31日,140.54,142.25,142.86,140.38,241.18M,-0.76%
2007年1月7日,143.24,140.82,143.24,140.25,333.07M,1.92%
2007年1月14日,142.82,143.07,143.46,142.31,221.84M,-0.29%
2007年1月21日,142.16,143.07,143.98,141.58,320.38M,-0.46%
