日期,收盘,开盘,高,低,交易量,涨跌幅
2012年2月21日,136.47,136.73,137.05,136.05,134.04M,0.04%
2012年2月22日,136.03,136.26,136.55,135.79,124.46M,-0.32%
2012年2月23日,136.63,135.96,136.73,135.5,137.70M,0.44%
2012年2月24日,136.93,136.93,137.2,136.63,105.54M,0.22%
2012年2月27日,137.16,136.02,137.53,135.8,145.73M,0.17%
2012年2月28日,137.56,137.2,137.72,136.93,129.36M,0.29%
2012年2月29日,137.02,137.76,138.19,136.54,185.93M,-0.39%
2012年3月1日,137.73,137.31,137.99,136.93,145.03M,0.52%
2012年3月2日,137.31,137.64,137.82,137,120.64M,-0.30%
2012年3月5日,136.75,137.1,137.2,136.28,140.76M,-0.41%
2012年3月6日,134.75,135.35,135.43,134.36,202.13M,-1.46%
2012年3月7日,135.69,135.06,135.91,134.93,143.69M,0.70%
2012年3月8日,137.04,136.52,137.32,136.24,116.97M,0.99%
2012年3月9日,137.57,137.3,137.93,137.13,122.84M,0.39%
2012年3月12日,137.58,137.55,137.76,137.09,104.00M,0.01%
2012年3月13日,140.06,138.32,140.13,138.09,184.09M,1.80%
2012年3月14日,139.91,140.1,140.44,139.48,145.16M,-0.11%
2012年3月15日,140.72,140.12,140.78,139.76,165.12M,0.58%
2012年3月16日,140.3,140.36,140.48,140,152.89M,-0.30%
2012年3月19日,140.85,140.21,141.28,140.11,125.29M,0.39%
2012年3月20日,140.44,140.05,140.61,139.64,121.73M,-0.29%
2012年3月21日,140.21,140.52,140.65,139.92,122.39M,-0.16%
2012年3月22日,139.2,139.18,139.55,138.74,135.22M,-0.72%
2012年3月23日,139.65,139.32,139.81,138.55,120.52M,0.32%
2012年3月26日,141.61,140.65,141.61,140.6,120.16M,1.40%
2012年3月27日,141.17,141.74,141.83,141.08,119.87M,-0.31%
2012年3月28日,140.47,141.1,141.32,139.64,148.56M,-0.50%
2012年3月29日,140.23,139.64,140.49,139.09,164.96M,-0.17%
2012年3月30日,140.81,140.92,141.05,140.05,135.49M,0.41%
2012年4月2日,141.84,140.64,142.21,140.36,151.74M,0.73%
2012年4月3日,141.26,141.64,141.88,140.43,155.81M,-0.41%
2012年4月4日,139.86,140.22,140.34,139.34,146.90M,-0.99%
2012年4月5日,139.79,139.38,140.2,139.26,137.44M,-0.05%
2012年4月9日,138.22,138.03,139.84,137.84,127.56M,-1.12%
2012年4月10日,135.9,137.95,138.34,135.76,235.36M,-1.68%
2012年4月11日,137,137.29,137.54,136.75,154.13M,0.81%
2012年4月12日,138.79,137.13,138.9,137.03,154.32M,1.31%
2012年4月13日,137.14,138.47,138.82,137.01,169.25M,-1.19%
2012年4月16日,137.05,137.84,138.04,136.58,147.83M,-0.07%
2012年4月17日,139.08,137.84,139.36,137.7,147.88M,1.48%
2012年4月18日,138.61,138.46,139.08,138.38,123.88M,-0.34%
2012年4月19日,137.72,138.63,139.15,137.07,198.67M,-0.64%
2012年4月20日,137.95,138.33,138.83,137.87,143.20M,0.17%
2012年4月23日,136.79,136.54,136.91,135.94,171.84M,-0.84%
2012年4月24日,137.31,136.91,137.66,136.8,137.48M,0.38%
2012年4月25日,139.19,138.65,139.25,138.53,150.25M,1.37%
2012年4月26日,140.16,138.89,140.32,138.81,136.29M,0.70%
2012年4月27日,140.39,140.58,140.79,139.8,124.64M,0.16%
2012年4月30日,139.87,140.11,140.21,139.49,115.09M,-0.37%
2012年5月1日,140.74,139.79,141.66,139.63,138.84M,0.62%
2012年5月2日,140.32,139.92,140.46,139.46,121.08M,-0.30%
2012年5月3日,139.25,140.34,140.45,138.99,143.76M,-0.76%
2012年5月4日,137,138.51,139.3,136.92,193.93M,-1.62%
2012年5月7日,137.1,136.51,137.56,136.46,127.77M,0.07%
2012年5月8日,136.55,136.28,136.77,134.92,213.38M,-0.40%
2012年5月9日,135.74,135.1,136.61,134.49,220.78M,-0.59%
2012年5月10日,136.02,136.68,136.85,135.71,150.60M,0.21%
2012年5月11日,135.61,135.17,136.87,135.11,153.03M,-0.30%
2012年5月14日,134.11,134.31,135.61,133.91,163.91M,-1.11%
2012年5月15日,133.34,134.02,134.81,133.13,207.63M,-0.57%
2012年5月16日,132.83,133.94,134.55,132.8,207.27M,-0.38%
2012年5月17日,130.86,132.86,133.02,130.79,247.99M,-1.48%
2012年5月18日,129.74,131.37,131.6,129.55,319.63M,-0.86%
2012年5月21日,131.97,130.16,132.02,129.95,177.86M,1.72%
2012年5月22日,132.2,132.31,133.23,131.34,197.53M,0.17%
2012年5月23日,132.27,131.25,132.46,129.99,204.96M,0.05%
2012年5月24日,132.53,132.63,132.84,131.42,167.36M,0.20%
2012年5月25日,132.1,132.48,132.85,131.78,135.47M,-0.32%
2012年5月29日,133.7,133.16,133.93,131.17,152.88M,1.21%
2012年5月30日,131.76,132.56,133.69,131.49,162.37M,-1.45%
2012年5月31日,131.47,131.71,132.45,130.34,196.19M,-0.22%
2012年6月1日,128.16,129.41,131.5,128.16,253.24M,-2.52%
2012年6月4日,128.1,128.39,128.74,127.14,202.55M,-0.05%
2012年6月5日,129.07,127.85,129.26,127.78,164.15M,0.76%
2012年6月6日,131.97,129.97,132.03,129.93,184.20M,2.25%
2012年6月7日,132.05,133.47,133.53,131.78,184.77M,0.06%
2012年6月8日,133.1,131.71,133.12,131.29,143.92M,0.80%
2012年6月11日,131.41,134.17,134.25,131.28,169.76M,-1.27%
2012年6月12日,132.92,131.79,133.01,131.16,181.93M,1.15%
2012年6月13日,132.07,132.53,133.36,131.62,172.22M,-0.64%
2012年6月14日,133.47,132.34,134,131.98,230.62M,1.06%
2012年6月15日,134.14,133.38,134.26,133.1,169.44M,0.50%
2012年6月18日,134.4,133.58,134.73,133.28,131.37M,0.19%
2012年6月19日,135.7,135.08,136.25,134.37,137.38M,0.97%
2012年6月20日,135.48,135.71,136.1,134.27,206.47M,-0.16%
2012年6月21日,132.44,135.64,135.78,132.33,205.27M,-2.24%
